"Alpha","Iteration","Interaction","TrueBeta","Detected"
1,143,"invasive_child",0,0
1,144,"ASC2_male",0.7,0
1,144,"ASC3_age",0,0
1,144,"cost_income",-1,0
1,144,"prot25_child",0,0
1,144,"prot50_child",0,0
1,144,"invasive_child",1.1,1
1,145,"ASC2_male",-0.9,0
1,145,"ASC3_age",-0.6,0
1,145,"cost_income",0,0
1,145,"prot25_child",0.7,0
1,145,"prot50_child",0,0
1,145,"invasive_child",0,0
1,146,"ASC2_male",-0.7,0
1,146,"ASC3_age",0,0
1,146,"cost_income",0,0
1,146,"prot25_child",-0.7,0
1,146,"prot50_child",0,0
1,146,"invasive_child",-0.5,0
1,147,"ASC2_male",0.9,0
1,147,"ASC3_age",0,1
1,147,"cost_income",0.9,0
1,147,"prot25_child",0,0
1,147,"prot50_child",0,0
1,147,"invasive_child",0.5,1
1,148,"ASC2_male",1,0
1,148,"ASC3_age",0,1
1,148,"cost_income",0,0
1,148,"prot25_child",-0.5,0
1,148,"prot50_child",0,0
1,148,"invasive_child",1.2,0
1,149,"ASC2_male",0.5,0
1,149,"ASC3_age",0,0
1,149,"cost_income",-0.7,0
1,149,"prot25_child",0,0
1,149,"prot50_child",-1.1,0
1,149,"invasive_child",0,0
1,150,"ASC2_male",0,0
1,150,"ASC3_age",0,0
1,150,"cost_income",0,0
1,150,"prot25_child",-1.2,0
1,150,"prot50_child",-0.8,0
1,150,"invasive_child",1.1,0
1,151,"ASC2_male",0,0
1,151,"ASC3_age",0,0
1,151,"cost_income",-0.4,0
1,151,"prot25_child",-0.4,0
1,151,"prot50_child",1.2,0
1,151,"invasive_child",0,0
1,152,"ASC2_male",-0.8,0
1,152,"ASC3_age",0,0
1,152,"cost_income",0,0
1,152,"prot25_child",0,0
1,152,"prot50_child",-0.5,0
1,152,"invasive_child",0.9,0
1,153,"ASC2_male",0.5,1
1,153,"ASC3_age",0,0
1,153,"cost_income",0,0
1,153,"prot25_child",0,0
1,153,"prot50_child",0.5,0
1,153,"invasive_child",1,0
1,154,"ASC2_male",0,0
1,154,"ASC3_age",0.7,0
1,154,"cost_income",0.8,0
1,154,"prot25_child",0,0
1,154,"prot50_child",0,0
1,154,"invasive_child",-0.5,0
1,155,"ASC2_male",0,1
1,155,"ASC3_age",-0.9,0
1,155,"cost_income",0,0
1,155,"prot25_child",-0.9,1
1,155,"prot50_child",0,0
1,155,"invasive_child",0.6,0
1,156,"ASC2_male",0.8,0
1,156,"ASC3_age",0,0
1,156,"cost_income",-0.5,0
1,156,"prot25_child",0,0
1,156,"prot50_child",1.1,0
1,156,"invasive_child",0,0
1,157,"ASC2_male",0,0
1,157,"ASC3_age",0.9,0
1,157,"cost_income",0,0
1,157,"prot25_child",0,0
1,157,"prot50_child",-0.5,0
1,157,"invasive_child",-0.9,0
1,158,"ASC2_male",0,0
1,158,"ASC3_age",-1.2,0
1,158,"cost_income",-0.7,0
1,158,"prot25_child",0,0
1,158,"prot50_child",0,0
1,158,"invasive_child",1.2,0
1,159,"ASC2_male",0,0
1,159,"ASC3_age",-0.6,0
1,159,"cost_income",0,0
1,159,"prot25_child",-0.7,0
1,159,"prot50_child",0.7,1
1,159,"invasive_child",0,0
1,160,"ASC2_male",0.8,0
1,160,"ASC3_age",0,0
1,160,"cost_income",0,0
1,160,"prot25_child",0,0
1,160,"prot50_child",0.6,0
1,160,"invasive_child",1,0
1,161,"ASC2_male",0,0
1,161,"ASC3_age",0,0
1,161,"cost_income",-0.9,0
1,161,"prot25_child",0.8,1
1,161,"prot50_child",0,0
1,161,"invasive_child",-0.4,0
1,162,"ASC2_male",0,0
1,162,"ASC3_age",0.9,0
1,162,"cost_income",0,0
1,162,"prot25_child",0,0
1,162,"prot50_child",1,0
1,162,"invasive_child",-1.1,0
1,163,"ASC2_male",0,0
1,163,"ASC3_age",-0.7,1
1,163,"cost_income",0,0
1,163,"prot25_child",-0.9,0
1,163,"prot50_child",0.5,0
1,163,"invasive_child",0,0
1,164,"ASC2_male",-0.9,0
1,164,"ASC3_age",0,0
1,164,"cost_income",0,0
1,164,"prot25_child",0,0
1,164,"prot50_child",-0.7,0
1,164,"invasive_child",1,0
1,165,"ASC2_male",-0.9,0
1,165,"ASC3_age",0.4,0
1,165,"cost_income",0,0
1,165,"prot25_child",0,0
1,165,"prot50_child",0,0
1,165,"invasive_child",0.8,0
1,166,"ASC2_male",0,0
1,166,"ASC3_age",0,0
1,166,"cost_income",-1,0
1,166,"prot25_child",1,0
1,166,"prot50_child",-0.6,0
1,166,"invasive_child",0,0
1,167,"ASC2_male",0,0
1,167,"ASC3_age",-1,0
1,167,"cost_income",0,0
1,167,"prot25_child",-1.1,1
1,167,"prot50_child",0,0
1,167,"invasive_child",-1,0
1,168,"ASC2_male",-1.2,0
1,168,"ASC3_age",1,0
1,168,"cost_income",0.7,0
1,168,"prot25_child",0,0
1,168,"prot50_child",0,0
1,168,"invasive_child",0,0
1,169,"ASC2_male",-1.2,0
1,169,"ASC3_age",-0.8,0
1,169,"cost_income",0,0
1,169,"prot25_child",1.2,1
1,169,"prot50_child",0,0
1,169,"invasive_child",0,0
1,170,"ASC2_male",0,0
1,170,"ASC3_age",0.9,0
1,170,"cost_income",0.6,0
1,170,"prot25_child",0,0
1,170,"prot50_child",0,0
1,170,"invasive_child",-0.9,0
1,171,"ASC2_male",-1.1,0
1,171,"ASC3_age",0,0
1,171,"cost_income",-0.9,0
1,171,"prot25_child",1,0
1,171,"prot50_child",0,0
1,171,"invasive_child",0,0
1,172,"ASC2_male",0.9,0
1,172,"ASC3_age",0,0
1,172,"cost_income",0.6,0
1,172,"prot25_child",1.1,1
1,172,"prot50_child",0,0
1,172,"invasive_child",0,0
1,173,"ASC2_male",0,0
1,173,"ASC3_age",0.9,0
1,173,"cost_income",0.8,0
1,173,"prot25_child",0,0
1,173,"prot50_child",0,0
1,173,"invasive_child",0.7,0
1,174,"ASC2_male",0,0
1,174,"ASC3_age",0,0
1,174,"cost_income",0,0
1,174,"prot25_child",-0.4,0
1,174,"prot50_child",1.2,0
1,174,"invasive_child",-0.6,0
1,175,"ASC2_male",0,0
1,175,"ASC3_age",-0.7,0
1,175,"cost_income",0,0
1,175,"prot25_child",1,1
1,175,"prot50_child",0,0
1,175,"invasive_child",1,0
1,176,"ASC2_male",-0.4,0
1,176,"ASC3_age",0,0
1,176,"cost_income",0.6,0
1,176,"prot25_child",0,0
1,176,"prot50_child",0,0
1,176,"invasive_child",-1.1,0
1,177,"ASC2_male",0,0
1,177,"ASC3_age",-0.6,0
1,177,"cost_income",-0.9,0
1,177,"prot25_child",0,0
1,177,"prot50_child",0.6,0
1,177,"invasive_child",0,0
1,178,"ASC2_male",0,0
1,178,"ASC3_age",0,0
1,178,"cost_income",0,0
1,178,"prot25_child",-0.9,0
1,178,"prot50_child",-0.8,0
1,178,"invasive_child",0.5,0
1,179,"ASC2_male",-0.5,0
1,179,"ASC3_age",0,0
1,179,"cost_income",0,0
1,179,"prot25_child",-1,0
1,179,"prot50_child",-0.4,0
1,179,"invasive_child",0,0
1,180,"ASC2_male",-0.9,1
1,180,"ASC3_age",0,0
1,180,"cost_income",-0.6,0
1,180,"prot25_child",0,0
1,180,"prot50_child",0.9,0
1,180,"invasive_child",0,0
1,181,"ASC2_male",1.2,0
1,181,"ASC3_age",0.6,0
1,181,"cost_income",0,0
1,181,"prot25_child",0,0
1,181,"prot50_child",0,0
1,181,"invasive_child",0.8,0
1,182,"ASC2_male",0,0
1,182,"ASC3_age",-1.1,0
1,182,"cost_income",0,0
1,182,"prot25_child",0.7,0
1,182,"prot50_child",1,0
1,182,"invasive_child",0,0
1,183,"ASC2_male",0,0
1,183,"ASC3_age",0,0
1,183,"cost_income",0,0
1,183,"prot25_child",0.5,0
1,183,"prot50_child",-0.7,0
1,183,"invasive_child",0.4,0
1,184,"ASC2_male",0.7,0
1,184,"ASC3_age",0.8,0
1,184,"cost_income",0,0
1,184,"prot25_child",0,0
1,184,"prot50_child",0,0
1,184,"invasive_child",-0.6,0
1,185,"ASC2_male",0,1
1,185,"ASC3_age",1,0
1,185,"cost_income",-1,0
1,185,"prot25_child",0,0
1,185,"prot50_child",-0.5,0
1,185,"invasive_child",0,0
1,186,"ASC2_male",0,0
1,186,"ASC3_age",0,0
1,186,"cost_income",0.5,1
1,186,"prot25_child",0,0
1,186,"prot50_child",-1.1,0
1,186,"invasive_child",-0.7,0
1,187,"ASC2_male",0,0
1,187,"ASC3_age",0.8,0
1,187,"cost_income",1.1,0
1,187,"prot25_child",0,0
1,187,"prot50_child",0.5,0
1,187,"invasive_child",0,0
1,188,"ASC2_male",0,0
1,188,"ASC3_age",0.5,0
1,188,"cost_income",-1.1,0
1,188,"prot25_child",0,0
1,188,"prot50_child",0,0
1,188,"invasive_child",-0.6,0
1,189,"ASC2_male",0,0
1,189,"ASC3_age",0,0
1,189,"cost_income",0,0
1,189,"prot25_child",-0.4,0
1,189,"prot50_child",-0.6,0
1,189,"invasive_child",0.6,0
1,190,"ASC2_male",-1,0
1,190,"ASC3_age",0,0
1,190,"cost_income",0,0
1,190,"prot25_child",1,0
1,190,"prot50_child",0,0
1,190,"invasive_child",1,0
1,191,"ASC2_male",0.7,0
1,191,"ASC3_age",0,0
1,191,"cost_income",-0.6,0
1,191,"prot25_child",0.5,0
1,191,"prot50_child",0,0
1,191,"invasive_child",0,0
1,192,"ASC2_male",0,0
1,192,"ASC3_age",0,0
1,192,"cost_income",-1.1,1
1,192,"prot25_child",0.7,0
1,192,"prot50_child",0,0
1,192,"invasive_child",-0.7,0
1,193,"ASC2_male",0.5,0
1,193,"ASC3_age",-1,0
1,193,"cost_income",0,0
1,193,"prot25_child",-0.5,0
1,193,"prot50_child",0,0
1,193,"invasive_child",0,0
1,194,"ASC2_male",0,0
1,194,"ASC3_age",0,0
1,194,"cost_income",-0.9,0
1,194,"prot25_child",0.5,0
1,194,"prot50_child",0,0
1,194,"invasive_child",-0.5,0
1,195,"ASC2_male",0,0
1,195,"ASC3_age",0,0
1,195,"cost_income",0,0
1,195,"prot25_child",0.6,0
1,195,"prot50_child",0.6,0
1,195,"invasive_child",-0.7,0
1,196,"ASC2_male",0,0
1,196,"ASC3_age",0,0
1,196,"cost_income",-0.5,0
1,196,"prot25_child",-0.6,0
1,196,"prot50_child",-1,0
1,196,"invasive_child",0,0
1,197,"ASC2_male",0,0
1,197,"ASC3_age",1.1,0
1,197,"cost_income",0,0
1,197,"prot25_child",0,0
1,197,"prot50_child",-0.5,0
1,197,"invasive_child",-0.9,0
1,198,"ASC2_male",0,0
1,198,"ASC3_age",0,0
1,198,"cost_income",0,0
1,198,"prot25_child",-0.5,0
1,198,"prot50_child",-0.7,0
1,198,"invasive_child",-1.1,0
1,199,"ASC2_male",0,0
1,199,"ASC3_age",0,0
1,199,"cost_income",-0.6,0
1,199,"prot25_child",0,0
1,199,"prot50_child",0.7,0
1,199,"invasive_child",-0.5,0
1,200,"ASC2_male",0,0
1,200,"ASC3_age",0,0
1,200,"cost_income",-1.1,0
1,200,"prot25_child",-0.5,0
1,200,"prot50_child",-0.9,0
1,200,"invasive_child",0,0
1,201,"ASC2_male",-0.4,0
1,201,"ASC3_age",0,0
1,201,"cost_income",0,0
1,201,"prot25_child",0,0
1,201,"prot50_child",-0.9,0
1,201,"invasive_child",1.2,0
1,202,"ASC2_male",0,0
1,202,"ASC3_age",0,1
1,202,"cost_income",1.2,0
1,202,"prot25_child",0.4,0
1,202,"prot50_child",0,0
1,202,"invasive_child",0.4,1
1,203,"ASC2_male",0.6,0
1,203,"ASC3_age",0,0
1,203,"cost_income",0,0
1,203,"prot25_child",0.5,0
1,203,"prot50_child",0.5,0
1,203,"invasive_child",0,0
1,204,"ASC2_male",0,0
1,204,"ASC3_age",1,0
1,204,"cost_income",-1.1,0
1,204,"prot25_child",0,0
1,204,"prot50_child",-1.1,0
1,204,"invasive_child",0,0
1,205,"ASC2_male",-0.4,0
1,205,"ASC3_age",0,0
1,205,"cost_income",0.6,0
1,205,"prot25_child",0,0
1,205,"prot50_child",0.4,0
1,205,"invasive_child",0,0
1,206,"ASC2_male",0.4,0
1,206,"ASC3_age",0,0
1,206,"cost_income",1,0
1,206,"prot25_child",0,0
1,206,"prot50_child",0,0
1,206,"invasive_child",-0.8,1
1,207,"ASC2_male",0.9,0
1,207,"ASC3_age",0,0
1,207,"cost_income",-1,0
1,207,"prot25_child",0,0
1,207,"prot50_child",0,0
1,207,"invasive_child",1.1,0
1,208,"ASC2_male",0,0
1,208,"ASC3_age",1.1,1
1,208,"cost_income",0,0
1,208,"prot25_child",0.7,0
1,208,"prot50_child",-0.7,0
1,208,"invasive_child",0,0
1,209,"ASC2_male",0.4,0
1,209,"ASC3_age",0.4,0
1,209,"cost_income",0,0
1,209,"prot25_child",0,0
1,209,"prot50_child",0,0
1,209,"invasive_child",1.1,0
1,210,"ASC2_male",0.5,0
1,210,"ASC3_age",-0.6,0
1,210,"cost_income",-1.1,0
1,210,"prot25_child",0,0
1,210,"prot50_child",0,0
1,210,"invasive_child",0,0
1,211,"ASC2_male",-0.6,0
1,211,"ASC3_age",1.2,0
1,211,"cost_income",0,0
1,211,"prot25_child",0,0
1,211,"prot50_child",-1,0
1,211,"invasive_child",0,0
1,212,"ASC2_male",0.7,1
1,212,"ASC3_age",0,0
1,212,"cost_income",0,1
1,212,"prot25_child",0,0
1,212,"prot50_child",-1,0
1,212,"invasive_child",0.6,0
1,213,"ASC2_male",0,0
1,213,"ASC3_age",-1.2,1
1,213,"cost_income",0.4,0
1,213,"prot25_child",0,0
1,213,"prot50_child",-0.8,0
1,213,"invasive_child",0,0
1,214,"ASC2_male",0,0
1,214,"ASC3_age",-1,0
1,214,"cost_income",0,1
1,214,"prot25_child",0.9,0
1,214,"prot50_child",-0.6,0
1,214,"invasive_child",0,1
1,215,"ASC2_male",-0.6,0
1,215,"ASC3_age",-0.8,0
1,215,"cost_income",0,0
1,215,"prot25_child",0,0
1,215,"prot50_child",1.1,0
1,215,"invasive_child",0,0
1,216,"ASC2_male",0.8,0
1,216,"ASC3_age",0,0
1,216,"cost_income",0,0
1,216,"prot25_child",0,0
1,216,"prot50_child",-0.4,0
1,216,"invasive_child",0.7,0
1,217,"ASC2_male",0,0
1,217,"ASC3_age",0,0
1,217,"cost_income",-0.6,0
1,217,"prot25_child",-0.6,0
1,217,"prot50_child",0.7,1
1,217,"invasive_child",0,0
1,218,"ASC2_male",0.8,0
1,218,"ASC3_age",0,0
1,218,"cost_income",0,0
1,218,"prot25_child",1.2,0
1,218,"prot50_child",0.8,0
1,218,"invasive_child",0,0
1,219,"ASC2_male",0,0
1,219,"ASC3_age",0,0
1,219,"cost_income",0.4,0
1,219,"prot25_child",-1,0
1,219,"prot50_child",0.9,0
1,219,"invasive_child",0,0
1,220,"ASC2_male",0,0
1,220,"ASC3_age",0.9,0
1,220,"cost_income",0,0
1,220,"prot25_child",-0.5,0
1,220,"prot50_child",0,0
1,220,"invasive_child",0.5,0
1,221,"ASC2_male",1.1,0
1,221,"ASC3_age",0,0
1,221,"cost_income",0,0
1,221,"prot25_child",0,0
1,221,"prot50_child",-0.7,0
1,221,"invasive_child",1.1,0
1,222,"ASC2_male",0,0
1,222,"ASC3_age",-1,0
1,222,"cost_income",-0.6,0
1,222,"prot25_child",0,0
1,222,"prot50_child",0,0
1,222,"invasive_child",0.9,0
1,223,"ASC2_male",-1,0
1,223,"ASC3_age",-1.1,0
1,223,"cost_income",0,0
1,223,"prot25_child",0,0
1,223,"prot50_child",0.4,0
1,223,"invasive_child",0,0
1,224,"ASC2_male",0,0
1,224,"ASC3_age",0,0
1,224,"cost_income",-0.5,0
1,224,"prot25_child",-1,0
1,224,"prot50_child",0,0
1,224,"invasive_child",-0.6,0
1,225,"ASC2_male",0,0
1,225,"ASC3_age",0,0
1,225,"cost_income",0.6,0
1,225,"prot25_child",0,0
1,225,"prot50_child",-0.8,0
1,225,"invasive_child",-0.8,0
1,226,"ASC2_male",0,0
1,226,"ASC3_age",0.6,1
1,226,"cost_income",0.6,0
1,226,"prot25_child",0,0
1,226,"prot50_child",1.1,0
1,226,"invasive_child",0,0
1,227,"ASC2_male",-1,0
1,227,"ASC3_age",0,0
1,227,"cost_income",-1,0
1,227,"prot25_child",0,0
1,227,"prot50_child",-0.6,0
1,227,"invasive_child",0,0
1,228,"ASC2_male",-1.1,0
1,228,"ASC3_age",0.6,0
1,228,"cost_income",-1.1,0
1,228,"prot25_child",0,0
1,228,"prot50_child",0,0
1,228,"invasive_child",0,1
1,229,"ASC2_male",0,0
1,229,"ASC3_age",-0.4,0
1,229,"cost_income",0,0
1,229,"prot25_child",0,1
1,229,"prot50_child",0.5,0
1,229,"invasive_child",-0.5,0
1,230,"ASC2_male",0.9,0
1,230,"ASC3_age",-1.2,0
1,230,"cost_income",0.8,0
1,230,"prot25_child",0,0
1,230,"prot50_child",0,0
1,230,"invasive_child",0,1
1,231,"ASC2_male",0,0
1,231,"ASC3_age",0,0
1,231,"cost_income",0.9,0
1,231,"prot25_child",1.1,0
1,231,"prot50_child",0,0
1,231,"invasive_child",-0.9,0
1,232,"ASC2_male",0,0
1,232,"ASC3_age",0.9,0
1,232,"cost_income",0,0
1,232,"prot25_child",0,0
1,232,"prot50_child",1,1
1,232,"invasive_child",0.9,0
1,233,"ASC2_male",0.4,0
1,233,"ASC3_age",0,1
1,233,"cost_income",0,0
1,233,"prot25_child",0,0
1,233,"prot50_child",0.5,0
1,233,"invasive_child",0.6,0
1,234,"ASC2_male",0,0
1,234,"ASC3_age",-1,1
1,234,"cost_income",0,0
1,234,"prot25_child",0.5,0
1,234,"prot50_child",-0.5,0
1,234,"invasive_child",0,0
1,235,"ASC2_male",0.5,0
1,235,"ASC3_age",0,0
1,235,"cost_income",0.5,0
1,235,"prot25_child",0.7,1
1,235,"prot50_child",0,0
1,235,"invasive_child",0,0
1,236,"ASC2_male",-1,0
1,236,"ASC3_age",-0.6,0
1,236,"cost_income",0,0
1,236,"prot25_child",0,1
1,236,"prot50_child",1.2,0
1,236,"invasive_child",0,0
1,237,"ASC2_male",0,0
1,237,"ASC3_age",-0.5,0
1,237,"cost_income",0,0
1,237,"prot25_child",0,0
1,237,"prot50_child",1,0
1,237,"invasive_child",-0.6,0
1,238,"ASC2_male",0,0
1,238,"ASC3_age",0.6,0
1,238,"cost_income",0,0
1,238,"prot25_child",0.8,0
1,238,"prot50_child",0,0
1,238,"invasive_child",-0.6,0
1,239,"ASC2_male",0.7,0
1,239,"ASC3_age",0,0
1,239,"cost_income",1.2,0
1,239,"prot25_child",0,0
1,239,"prot50_child",0,0
1,239,"invasive_child",0.9,0
1,240,"ASC2_male",0,0
1,240,"ASC3_age",0,0
1,240,"cost_income",-1.1,0
1,240,"prot25_child",0.7,0
1,240,"prot50_child",0,0
1,240,"invasive_child",-0.9,1
1,241,"ASC2_male",0,0
1,241,"ASC3_age",0.9,0
1,241,"cost_income",0,0
1,241,"prot25_child",0,0
1,241,"prot50_child",-1.1,0
1,241,"invasive_child",-0.6,0
1,242,"ASC2_male",0,0
1,242,"ASC3_age",-1.1,1
1,242,"cost_income",0,0
1,242,"prot25_child",0,0
1,242,"prot50_child",-0.8,0
1,242,"invasive_child",-1.1,0
1,243,"ASC2_male",0,0
1,243,"ASC3_age",0.8,0
1,243,"cost_income",0,0
1,243,"prot25_child",0,1
1,243,"prot50_child",-0.9,0
1,243,"invasive_child",0.7,0
1,244,"ASC2_male",0,1
1,244,"ASC3_age",0,0
1,244,"cost_income",1,0
1,244,"prot25_child",0,0
1,244,"prot50_child",-0.7,0
1,244,"invasive_child",-0.8,0
1,245,"ASC2_male",0,0
1,245,"ASC3_age",0.5,0
1,245,"cost_income",0.5,0
1,245,"prot25_child",0.9,0
1,245,"prot50_child",0,0
1,245,"invasive_child",0,0
1,246,"ASC2_male",-0.7,0
1,246,"ASC3_age",0,1
1,246,"cost_income",0.5,0
1,246,"prot25_child",0,0
1,246,"prot50_child",0,0
1,246,"invasive_child",0.6,0
1,247,"ASC2_male",0,0
1,247,"ASC3_age",-1.1,0
1,247,"cost_income",-0.5,0
1,247,"prot25_child",-0.8,0
1,247,"prot50_child",0,0
1,247,"invasive_child",0,0
1,248,"ASC2_male",0.9,0
1,248,"ASC3_age",-0.6,0
1,248,"cost_income",0,0
1,248,"prot25_child",0,0
1,248,"prot50_child",0,0
1,248,"invasive_child",0.7,0
1,249,"ASC2_male",0,0
1,249,"ASC3_age",1,0
1,249,"cost_income",0.8,0
1,249,"prot25_child",0,0
1,249,"prot50_child",0,0
1,249,"invasive_child",-0.8,0
1,250,"ASC2_male",0,0
1,250,"ASC3_age",1,0
1,250,"cost_income",0.4,0
1,250,"prot25_child",1.1,0
1,250,"prot50_child",0,0
1,250,"invasive_child",0,0
