"","line","invasive1","cost1","y1","spec101","spec251","prot251","prot501","invasive2","cost2","y2","spec102","spec252","prot252","prot502","invasive3","cost3","y3","spec103","spec253","prot253","prot503","respid","male","agegr","q1","q2","q3","q4","q4_other","q5_1","q5_2","q5_3","q6","q7","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","block","choice1","choice2","choice3","choice4","choice5","choice6","q22_1","q22_2","q22_3","q22_4","q22_5","q22_6","q22_7","q22_8","q22_9","q22_10","q23_1","q23_2","q24_1","q24_2","q24_3","q24_4","q24_5","q24_6","q24_7","q25_1","q25_2","q28","angling","scuba","q31","q32","q33","q34","earner","q36_1","q36_2","q36_3","edu","job","age","country","dist_db","dist_coast","dist_nsea","dist2_db","dist2_coast","dist2_nsea","inttime","resumed","income","lnincome","hhsize","children","child","firstcard","job1","job2","job3","job4","job5","job6","job7","job8","certainty1","certainty2","certainty3","certainty4","certainty5","certainty6","certainty","status","secfish","secrenew","secoil","secmarine","marinesector","coast1m","coast2m","coast4m","coast6m","coast10m","coast25m","coast50m","tottime","lntottime","tottimek","tottimek2","incomek","id","set","ASC21","ASC22","ASC23","ASC31","ASC32","ASC33"
"226",226,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,241,0,6,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,3,0,0,0,1,1,2,1,0,1,1,0,1,1,4,1,3,2,2,1,3,2,4,2,5,4,4,5,3,4,5,1,4,2,2,3,4,4,4,4,1,1,1,0,0,3,2,8,3,1,0,0,1,2,8,71,1,409.720428466797,14.2903089523315,16.0594253540039,423.725677490234,2.16925120353699,15.5010976791382,14.37,1,2500,7.8240461,1,0,0,1,0,0,0,0,0,0,0,1,3,3,1,3,1,1,12,0,0,0,0,0,0,0,1,1,1,1,1,1,862.20001,6.7594872,0.86220002,0.74338889,2.5,38,4,0,1,0,0,0,1
"227",227,1,0,1,0,0,0,0,0,10,0,0,1,0,1,1,20,0,1,0,0,0,241,0,6,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,3,0,0,0,1,1,2,1,0,1,1,0,1,1,4,1,3,2,2,1,3,2,4,2,5,4,4,5,3,4,5,1,4,2,2,3,4,4,4,4,1,1,1,0,0,3,2,8,3,1,0,0,1,2,8,71,1,409.720428466797,14.2903089523315,16.0594253540039,423.725677490234,2.16925120353699,15.5010976791382,14.37,1,2500,7.8240461,1,0,0,1,0,0,0,0,0,0,0,1,3,3,1,3,1,1,12,0,0,0,0,0,0,0,1,1,1,1,1,1,862.20001,6.7594872,0.86220002,0.74338889,2.5,38,5,0,1,0,0,0,1
"228",228,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,241,0,6,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,3,0,0,0,1,1,2,1,0,1,1,0,1,1,4,1,3,2,2,1,3,2,4,2,5,4,4,5,3,4,5,1,4,2,2,3,4,4,4,4,1,1,1,0,0,3,2,8,3,1,0,0,1,2,8,71,1,409.720428466797,14.2903089523315,16.0594253540039,423.725677490234,2.16925120353699,15.5010976791382,14.37,1,2500,7.8240461,1,0,0,1,0,0,0,0,0,0,0,1,3,3,1,3,1,1,12,0,0,0,0,0,0,0,1,1,1,1,1,1,862.20001,6.7594872,0.86220002,0.74338889,2.5,38,6,0,1,0,0,0,1
"229",229,1,0,1,0,0,0,0,0,30,0,0,0,1,0,0,30,0,0,1,0,0,249,0,4,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,1,4,1,2,2,2,3,3,1,2,1,2,1,2,5,4,5,4,6,6,3,4,4,3,4,4,4,4,1,0,0,0,3,1,6,4,0,0,2,0,5,6,53,1,405.814697265625,1.42547369003296,1.42547369003296,407.654479980469,3.88064122200012,3.88064122200012,97.18,2,4000,8.2940493,2,0,0,5,0,0,0,0,0,1,0,0,4,5,4,4,4,5,26,0,0,0,0,0,0,0,0,1,1,1,1,1,5830.7998,8.6709099,5.8307996,33.998222,4,39,1,0,1,0,0,0,1
"230",230,1,0,0,0,0,0,0,1,30,1,0,0,0,1,1,10,0,0,1,1,0,249,0,4,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,1,4,1,2,2,2,3,3,1,2,1,2,1,2,5,4,5,4,6,6,3,4,4,3,4,4,4,4,1,0,0,0,3,1,6,4,0,0,2,0,5,6,53,1,405.814697265625,1.42547369003296,1.42547369003296,407.654479980469,3.88064122200012,3.88064122200012,97.18,2,4000,8.2940493,2,0,0,5,0,0,0,0,0,1,0,0,4,5,4,4,4,5,26,0,0,0,0,0,0,0,0,1,1,1,1,1,5830.7998,8.6709099,5.8307996,33.998222,4,39,2,0,1,0,0,0,1
"231",231,1,0,0,0,0,0,0,1,30,1,0,1,0,0,1,60,0,0,0,0,1,249,0,4,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,1,4,1,2,2,2,3,3,1,2,1,2,1,2,5,4,5,4,6,6,3,4,4,3,4,4,4,4,1,0,0,0,3,1,6,4,0,0,2,0,5,6,53,1,405.814697265625,1.42547369003296,1.42547369003296,407.654479980469,3.88064122200012,3.88064122200012,97.18,2,4000,8.2940493,2,0,0,5,0,0,0,0,0,1,0,0,4,5,4,4,4,5,26,0,0,0,0,0,0,0,0,1,1,1,1,1,5830.7998,8.6709099,5.8307996,33.998222,4,39,3,0,1,0,0,0,1
"232",232,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,249,0,4,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,1,4,1,2,2,2,3,3,1,2,1,2,1,2,5,4,5,4,6,6,3,4,4,3,4,4,4,4,1,0,0,0,3,1,6,4,0,0,2,0,5,6,53,1,405.814697265625,1.42547369003296,1.42547369003296,407.654479980469,3.88064122200012,3.88064122200012,97.18,2,4000,8.2940493,2,0,0,5,0,0,0,0,0,1,0,0,4,5,4,4,4,5,26,0,0,0,0,0,0,0,0,1,1,1,1,1,5830.7998,8.6709099,5.8307996,33.998222,4,39,4,0,1,0,0,0,1
"233",233,1,0,0,0,0,0,0,0,10,0,0,1,0,1,1,20,1,1,0,0,0,249,0,4,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,1,4,1,2,2,2,3,3,1,2,1,2,1,2,5,4,5,4,6,6,3,4,4,3,4,4,4,4,1,0,0,0,3,1,6,4,0,0,2,0,5,6,53,1,405.814697265625,1.42547369003296,1.42547369003296,407.654479980469,3.88064122200012,3.88064122200012,97.18,2,4000,8.2940493,2,0,0,5,0,0,0,0,0,1,0,0,4,5,4,4,4,5,26,0,0,0,0,0,0,0,0,1,1,1,1,1,5830.7998,8.6709099,5.8307996,33.998222,4,39,5,0,1,0,0,0,1
"234",234,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,249,0,4,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,1,4,1,2,2,2,3,3,1,2,1,2,1,2,5,4,5,4,6,6,3,4,4,3,4,4,4,4,1,0,0,0,3,1,6,4,0,0,2,0,5,6,53,1,405.814697265625,1.42547369003296,1.42547369003296,407.654479980469,3.88064122200012,3.88064122200012,97.18,2,4000,8.2940493,2,0,0,5,0,0,0,0,0,1,0,0,4,5,4,4,4,5,26,0,0,0,0,0,0,0,0,1,1,1,1,1,5830.7998,8.6709099,5.8307996,33.998222,4,39,6,0,1,0,0,0,1
"235",235,1,0,1,0,0,0,0,0,30,0,0,0,1,0,0,30,0,0,1,0,0,284,0,4,0,1,5,4,NA,4,4,2,0,1,1,2,3,0,0,0,0,0,NA,3,0,0,0,1,0,0,1,4,1,3,3,2,3,3,2,3,3,4,5,3,3,4,4,3,4,4,2,1,1,4,4,3,4,1,1,0,1,0,3,3,8,2,1,0,1,0,2,5,49,1,659.019958496094,10.9154996871948,304.301696777344,654.785827636719,0.772599875926971,289.161773681641,26.08,1,1500,7.3132205,1,0,0,6,0,0,0,0,1,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,1,1,1,1,1,1,1,1564.8,7.3555131,1.5648,2.4485991,1.5,40,1,0,1,0,0,0,1
"236",236,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,284,0,4,0,1,5,4,NA,4,4,2,0,1,1,2,3,0,0,0,0,0,NA,3,0,0,0,1,0,0,1,4,1,3,3,2,3,3,2,3,3,4,5,3,3,4,4,3,4,4,2,1,1,4,4,3,4,1,1,0,1,0,3,3,8,2,1,0,1,0,2,5,49,1,659.019958496094,10.9154996871948,304.301696777344,654.785827636719,0.772599875926971,289.161773681641,26.08,1,1500,7.3132205,1,0,0,6,0,0,0,0,1,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,1,1,1,1,1,1,1,1564.8,7.3555131,1.5648,2.4485991,1.5,40,2,0,1,0,0,0,1
"237",237,1,0,0,0,0,0,0,1,30,0,0,1,0,0,1,60,1,0,0,0,1,284,0,4,0,1,5,4,NA,4,4,2,0,1,1,2,3,0,0,0,0,0,NA,3,0,0,0,1,0,0,1,4,1,3,3,2,3,3,2,3,3,4,5,3,3,4,4,3,4,4,2,1,1,4,4,3,4,1,1,0,1,0,3,3,8,2,1,0,1,0,2,5,49,1,659.019958496094,10.9154996871948,304.301696777344,654.785827636719,0.772599875926971,289.161773681641,26.08,1,1500,7.3132205,1,0,0,6,0,0,0,0,1,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,1,1,1,1,1,1,1,1564.8,7.3555131,1.5648,2.4485991,1.5,40,3,0,1,0,0,0,1
"238",238,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,284,0,4,0,1,5,4,NA,4,4,2,0,1,1,2,3,0,0,0,0,0,NA,3,0,0,0,1,0,0,1,4,1,3,3,2,3,3,2,3,3,4,5,3,3,4,4,3,4,4,2,1,1,4,4,3,4,1,1,0,1,0,3,3,8,2,1,0,1,0,2,5,49,1,659.019958496094,10.9154996871948,304.301696777344,654.785827636719,0.772599875926971,289.161773681641,26.08,1,1500,7.3132205,1,0,0,6,0,0,0,0,1,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,1,1,1,1,1,1,1,1564.8,7.3555131,1.5648,2.4485991,1.5,40,4,0,1,0,0,0,1
"239",239,1,0,0,0,0,0,0,0,10,0,0,1,0,1,1,20,1,1,0,0,0,284,0,4,0,1,5,4,NA,4,4,2,0,1,1,2,3,0,0,0,0,0,NA,3,0,0,0,1,0,0,1,4,1,3,3,2,3,3,2,3,3,4,5,3,3,4,4,3,4,4,2,1,1,4,4,3,4,1,1,0,1,0,3,3,8,2,1,0,1,0,2,5,49,1,659.019958496094,10.9154996871948,304.301696777344,654.785827636719,0.772599875926971,289.161773681641,26.08,1,1500,7.3132205,1,0,0,6,0,0,0,0,1,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,1,1,1,1,1,1,1,1564.8,7.3555131,1.5648,2.4485991,1.5,40,5,0,1,0,0,0,1
"240",240,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,284,0,4,0,1,5,4,NA,4,4,2,0,1,1,2,3,0,0,0,0,0,NA,3,0,0,0,1,0,0,1,4,1,3,3,2,3,3,2,3,3,4,5,3,3,4,4,3,4,4,2,1,1,4,4,3,4,1,1,0,1,0,3,3,8,2,1,0,1,0,2,5,49,1,659.019958496094,10.9154996871948,304.301696777344,654.785827636719,0.772599875926971,289.161773681641,26.08,1,1500,7.3132205,1,0,0,6,0,0,0,0,1,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,1,1,1,1,1,1,1,1564.8,7.3555131,1.5648,2.4485991,1.5,40,6,0,1,0,0,0,1
"241",241,1,0,0,0,0,0,0,0,30,1,0,0,1,0,0,30,0,0,1,0,0,291,1,6,0,1,4,4,NA,4,4,2,1,0,2,0,3,1,0,0,0,1,1,3,0,0,1,1,0,1,1,4,2,2,3,2,2,3,1,2,3,3,1,4,5,4,5,3,4,5,3,2,3,5,4,5,5,2,2,1,1,0,3,3,4,1,1,0,0,2,1,8,75,1,288.285034179688,52.002082824707,52.002082824707,297.447296142578,63.7281837463379,63.7281837463379,22.049999,1,500,6.2146082,2,0,0,5,0,0,0,0,0,0,0,1,3,5,5,4,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1323,7.1876574,1.323,1.7503289,0.5,41,1,0,1,0,0,0,1
"242",242,1,0,0,0,0,0,0,1,30,1,0,0,0,1,1,10,0,0,1,1,0,291,1,6,0,1,4,4,NA,4,4,2,1,0,2,0,3,1,0,0,0,1,1,3,0,0,1,1,0,1,1,4,2,2,3,2,2,3,1,2,3,3,1,4,5,4,5,3,4,5,3,2,3,5,4,5,5,2,2,1,1,0,3,3,4,1,1,0,0,2,1,8,75,1,288.285034179688,52.002082824707,52.002082824707,297.447296142578,63.7281837463379,63.7281837463379,22.049999,1,500,6.2146082,2,0,0,5,0,0,0,0,0,0,0,1,3,5,5,4,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1323,7.1876574,1.323,1.7503289,0.5,41,2,0,1,0,0,0,1
"243",243,1,0,0,0,0,0,0,1,30,0,0,1,0,0,1,60,1,0,0,0,1,291,1,6,0,1,4,4,NA,4,4,2,1,0,2,0,3,1,0,0,0,1,1,3,0,0,1,1,0,1,1,4,2,2,3,2,2,3,1,2,3,3,1,4,5,4,5,3,4,5,3,2,3,5,4,5,5,2,2,1,1,0,3,3,4,1,1,0,0,2,1,8,75,1,288.285034179688,52.002082824707,52.002082824707,297.447296142578,63.7281837463379,63.7281837463379,22.049999,1,500,6.2146082,2,0,0,5,0,0,0,0,0,0,0,1,3,5,5,4,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1323,7.1876574,1.323,1.7503289,0.5,41,3,0,1,0,0,0,1
"244",244,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,291,1,6,0,1,4,4,NA,4,4,2,1,0,2,0,3,1,0,0,0,1,1,3,0,0,1,1,0,1,1,4,2,2,3,2,2,3,1,2,3,3,1,4,5,4,5,3,4,5,3,2,3,5,4,5,5,2,2,1,1,0,3,3,4,1,1,0,0,2,1,8,75,1,288.285034179688,52.002082824707,52.002082824707,297.447296142578,63.7281837463379,63.7281837463379,22.049999,1,500,6.2146082,2,0,0,5,0,0,0,0,0,0,0,1,3,5,5,4,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1323,7.1876574,1.323,1.7503289,0.5,41,4,0,1,0,0,0,1
"245",245,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,291,1,6,0,1,4,4,NA,4,4,2,1,0,2,0,3,1,0,0,0,1,1,3,0,0,1,1,0,1,1,4,2,2,3,2,2,3,1,2,3,3,1,4,5,4,5,3,4,5,3,2,3,5,4,5,5,2,2,1,1,0,3,3,4,1,1,0,0,2,1,8,75,1,288.285034179688,52.002082824707,52.002082824707,297.447296142578,63.7281837463379,63.7281837463379,22.049999,1,500,6.2146082,2,0,0,5,0,0,0,0,0,0,0,1,3,5,5,4,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1323,7.1876574,1.323,1.7503289,0.5,41,5,0,1,0,0,0,1
"246",246,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,291,1,6,0,1,4,4,NA,4,4,2,1,0,2,0,3,1,0,0,0,1,1,3,0,0,1,1,0,1,1,4,2,2,3,2,2,3,1,2,3,3,1,4,5,4,5,3,4,5,3,2,3,5,4,5,5,2,2,1,1,0,3,3,4,1,1,0,0,2,1,8,75,1,288.285034179688,52.002082824707,52.002082824707,297.447296142578,63.7281837463379,63.7281837463379,22.049999,1,500,6.2146082,2,0,0,5,0,0,0,0,0,0,0,1,3,5,5,4,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1323,7.1876574,1.323,1.7503289,0.5,41,6,0,1,0,0,0,1
"247",247,1,0,1,0,0,0,0,0,30,0,0,0,1,0,0,30,0,0,1,0,0,295,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,3,2,0,NA,3,0,0,0,1,0,0,3,4,1,1,3,2,2,3,1,3,3,3,3,4,5,4,5,2,6,6,4,2,3,4,3,4,5,2,3,0,0,0,1,4,6,1,0,0,5,0,5,7,21,3,515.222961425781,22.5786304473877,212.901275634766,517.789001464844,0.456527411937714,195.973052978516,32.119999,1,500,6.2146082,5,0,0,1,0,0,0,0,0,0,1,0,4,5,5,5,5,5,29,0,0,0,0,0,0,1,1,1,1,1,1,1,1927.2,7.5638232,1.9272,3.7140996,0.5,42,1,0,1,0,0,0,1
"248",248,1,0,1,0,0,0,0,1,30,0,0,0,0,1,1,10,0,0,1,1,0,295,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,3,2,0,NA,3,0,0,0,1,0,0,3,4,1,1,3,2,2,3,1,3,3,3,3,4,5,4,5,2,6,6,4,2,3,4,3,4,5,2,3,0,0,0,1,4,6,1,0,0,5,0,5,7,21,3,515.222961425781,22.5786304473877,212.901275634766,517.789001464844,0.456527411937714,195.973052978516,32.119999,1,500,6.2146082,5,0,0,1,0,0,0,0,0,0,1,0,4,5,5,5,5,5,29,0,0,0,0,0,0,1,1,1,1,1,1,1,1927.2,7.5638232,1.9272,3.7140996,0.5,42,2,0,1,0,0,0,1
"249",249,1,0,0,0,0,0,0,1,30,0,0,1,0,0,1,60,1,0,0,0,1,295,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,3,2,0,NA,3,0,0,0,1,0,0,3,4,1,1,3,2,2,3,1,3,3,3,3,4,5,4,5,2,6,6,4,2,3,4,3,4,5,2,3,0,0,0,1,4,6,1,0,0,5,0,5,7,21,3,515.222961425781,22.5786304473877,212.901275634766,517.789001464844,0.456527411937714,195.973052978516,32.119999,1,500,6.2146082,5,0,0,1,0,0,0,0,0,0,1,0,4,5,5,5,5,5,29,0,0,0,0,0,0,1,1,1,1,1,1,1,1927.2,7.5638232,1.9272,3.7140996,0.5,42,3,0,1,0,0,0,1
"250",250,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,295,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,3,2,0,NA,3,0,0,0,1,0,0,3,4,1,1,3,2,2,3,1,3,3,3,3,4,5,4,5,2,6,6,4,2,3,4,3,4,5,2,3,0,0,0,1,4,6,1,0,0,5,0,5,7,21,3,515.222961425781,22.5786304473877,212.901275634766,517.789001464844,0.456527411937714,195.973052978516,32.119999,1,500,6.2146082,5,0,0,1,0,0,0,0,0,0,1,0,4,5,5,5,5,5,29,0,0,0,0,0,0,1,1,1,1,1,1,1,1927.2,7.5638232,1.9272,3.7140996,0.5,42,4,0,1,0,0,0,1
"251",251,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,295,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,3,2,0,NA,3,0,0,0,1,0,0,3,4,1,1,3,2,2,3,1,3,3,3,3,4,5,4,5,2,6,6,4,2,3,4,3,4,5,2,3,0,0,0,1,4,6,1,0,0,5,0,5,7,21,3,515.222961425781,22.5786304473877,212.901275634766,517.789001464844,0.456527411937714,195.973052978516,32.119999,1,500,6.2146082,5,0,0,1,0,0,0,0,0,0,1,0,4,5,5,5,5,5,29,0,0,0,0,0,0,1,1,1,1,1,1,1,1927.2,7.5638232,1.9272,3.7140996,0.5,42,5,0,1,0,0,0,1
"252",252,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,295,0,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,3,2,0,NA,3,0,0,0,1,0,0,3,4,1,1,3,2,2,3,1,3,3,3,3,4,5,4,5,2,6,6,4,2,3,4,3,4,5,2,3,0,0,0,1,4,6,1,0,0,5,0,5,7,21,3,515.222961425781,22.5786304473877,212.901275634766,517.789001464844,0.456527411937714,195.973052978516,32.119999,1,500,6.2146082,5,0,0,1,0,0,0,0,0,0,1,0,4,5,5,5,5,5,29,0,0,0,0,0,0,1,1,1,1,1,1,1,1927.2,7.5638232,1.9272,3.7140996,0.5,42,6,0,1,0,0,0,1
"253",253,1,0,0,0,0,0,0,0,30,0,0,0,1,0,0,30,1,0,1,0,0,300,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,3,0,0,0,1,1,2,0,0,1,1,1,1,3,4,3,3,2,2,2,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,3,4,5,4,4,4,4,0,1,0,1,1,3,3,1,1,3,0,4,8,56,1,270.982330322266,29.4335327148438,29.4335327148438,239.606704711914,5.05938243865967,5.05938243865967,12.68,1,2500,7.8240461,4,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,4,2,17,0,0,0,0,0,0,0,0,1,1,1,1,1,760.80005,6.6343708,0.76080006,0.57881671,2.5,43,1,0,1,0,0,0,1
"254",254,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,300,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,3,0,0,0,1,1,2,0,0,1,1,1,1,3,4,3,3,2,2,2,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,3,4,5,4,4,4,4,0,1,0,1,1,3,3,1,1,3,0,4,8,56,1,270.982330322266,29.4335327148438,29.4335327148438,239.606704711914,5.05938243865967,5.05938243865967,12.68,1,2500,7.8240461,4,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,4,2,17,0,0,0,0,0,0,0,0,1,1,1,1,1,760.80005,6.6343708,0.76080006,0.57881671,2.5,43,2,0,1,0,0,0,1
"255",255,1,0,0,0,0,0,0,1,30,1,0,1,0,0,1,60,0,0,0,0,1,300,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,3,0,0,0,1,1,2,0,0,1,1,1,1,3,4,3,3,2,2,2,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,3,4,5,4,4,4,4,0,1,0,1,1,3,3,1,1,3,0,4,8,56,1,270.982330322266,29.4335327148438,29.4335327148438,239.606704711914,5.05938243865967,5.05938243865967,12.68,1,2500,7.8240461,4,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,4,2,17,0,0,0,0,0,0,0,0,1,1,1,1,1,760.80005,6.6343708,0.76080006,0.57881671,2.5,43,3,0,1,0,0,0,1
"256",256,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,300,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,3,0,0,0,1,1,2,0,0,1,1,1,1,3,4,3,3,2,2,2,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,3,4,5,4,4,4,4,0,1,0,1,1,3,3,1,1,3,0,4,8,56,1,270.982330322266,29.4335327148438,29.4335327148438,239.606704711914,5.05938243865967,5.05938243865967,12.68,1,2500,7.8240461,4,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,4,2,17,0,0,0,0,0,0,0,0,1,1,1,1,1,760.80005,6.6343708,0.76080006,0.57881671,2.5,43,4,0,1,0,0,0,1
"257",257,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,300,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,3,0,0,0,1,1,2,0,0,1,1,1,1,3,4,3,3,2,2,2,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,3,4,5,4,4,4,4,0,1,0,1,1,3,3,1,1,3,0,4,8,56,1,270.982330322266,29.4335327148438,29.4335327148438,239.606704711914,5.05938243865967,5.05938243865967,12.68,1,2500,7.8240461,4,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,4,2,17,0,0,0,0,0,0,0,0,1,1,1,1,1,760.80005,6.6343708,0.76080006,0.57881671,2.5,43,5,0,1,0,0,0,1
"258",258,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,300,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,3,0,0,0,1,1,2,0,0,1,1,1,1,3,4,3,3,2,2,2,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,3,4,5,4,4,4,4,0,1,0,1,1,3,3,1,1,3,0,4,8,56,1,270.982330322266,29.4335327148438,29.4335327148438,239.606704711914,5.05938243865967,5.05938243865967,12.68,1,2500,7.8240461,4,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,4,2,17,0,0,0,0,0,0,0,0,1,1,1,1,1,760.80005,6.6343708,0.76080006,0.57881671,2.5,43,6,0,1,0,0,0,1
"259",259,1,0,0,0,0,0,0,0,30,1,0,0,1,0,0,30,0,0,1,0,0,301,1,6,0,3,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,3,0,0,1,1,3,0,0,0,3,0,1,3,4,2,2,2,3,2,3,3,4,4,5,4,4,4,3,4,5,3,3,3,2,2,4,5,3,4,2,2,0,0,0,2,1,4,5,1,0,0,2,4,1,75,1,394.008514404297,8.99473667144775,8.99473667144775,394.768280029297,11.2690048217773,11.2690048217773,8.5299997,1,6000,8.6995144,2,0,0,1,1,0,0,0,0,0,0,0,3,2,3,3,3,3,17,0,0,0,0,0,0,0,0,0,0,1,1,1,511.79999,6.2379341,0.51179999,0.26193923,6,44,1,0,1,0,0,0,1
"260",260,1,0,0,0,0,0,0,1,30,1,0,0,0,1,1,10,0,0,1,1,0,301,1,6,0,3,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,3,0,0,1,1,3,0,0,0,3,0,1,3,4,2,2,2,3,2,3,3,4,4,5,4,4,4,3,4,5,3,3,3,2,2,4,5,3,4,2,2,0,0,0,2,1,4,5,1,0,0,2,4,1,75,1,394.008514404297,8.99473667144775,8.99473667144775,394.768280029297,11.2690048217773,11.2690048217773,8.5299997,1,6000,8.6995144,2,0,0,1,1,0,0,0,0,0,0,0,3,2,3,3,3,3,17,0,0,0,0,0,0,0,0,0,0,1,1,1,511.79999,6.2379341,0.51179999,0.26193923,6,44,2,0,1,0,0,0,1
"261",261,1,0,0,0,0,0,0,1,30,1,0,1,0,0,1,60,0,0,0,0,1,301,1,6,0,3,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,3,0,0,1,1,3,0,0,0,3,0,1,3,4,2,2,2,3,2,3,3,4,4,5,4,4,4,3,4,5,3,3,3,2,2,4,5,3,4,2,2,0,0,0,2,1,4,5,1,0,0,2,4,1,75,1,394.008514404297,8.99473667144775,8.99473667144775,394.768280029297,11.2690048217773,11.2690048217773,8.5299997,1,6000,8.6995144,2,0,0,1,1,0,0,0,0,0,0,0,3,2,3,3,3,3,17,0,0,0,0,0,0,0,0,0,0,1,1,1,511.79999,6.2379341,0.51179999,0.26193923,6,44,3,0,1,0,0,0,1
