line,invasive1,cost1,y1,spec101,spec251,prot251,prot501,invasive2,cost2,y2,spec102,spec252,prot252,prot502,invasive3,cost3,y3,spec103,spec253,prot253,prot503,respid,male,agegr,block,q20_1,q20_2,q20_3,q20_4,dq21_1,dq21_2,dq21_3,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q23_1,q23_2,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25_1,q25_2,q34,edu,job,age,country,inttime,resumed,income,england,scotland,wales,nireland,protest1,protest2,protest3,id,set
790,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,939,0,1,4,2,2,2,1,,,,,,,,,,2,4,4,4,3,3,4,3,4,5,4,4,3,3,3,4,4,2,3,1,1,1,4,7,20,,11.22,1,500,,,,,0,0,0,132,4
791,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,939,0,1,4,2,2,2,1,,,,,,,,,,2,4,4,4,3,3,4,3,4,5,4,4,3,3,3,4,4,2,3,1,1,1,4,7,20,,11.22,1,500,,,,,0,0,0,132,5
792,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,939,0,1,4,2,2,2,1,,,,,,,,,,2,4,4,4,3,3,4,3,4,5,4,4,3,3,3,4,4,2,3,1,1,1,4,7,20,,11.22,1,500,,,,,0,0,0,132,6
793,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,954,0,3,4,2,1,2,1,,,,,,,,,,3,5,4,5,5,4,4,3,4,4,4,4,3,3,3,3,5,4,4,3,3,2,2,2,43,1,14.67,1,1500,1,0,0,0,0,1,0,133,1
794,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,954,0,3,4,2,1,2,1,,,,,,,,,,3,5,4,5,5,4,4,3,4,4,4,4,3,3,3,3,5,4,4,3,3,2,2,2,43,1,14.67,1,1500,1,0,0,0,0,1,0,133,2
795,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,954,0,3,4,2,1,2,1,,,,,,,,,,3,5,4,5,5,4,4,3,4,4,4,4,3,3,3,3,5,4,4,3,3,2,2,2,43,1,14.67,1,1500,1,0,0,0,0,1,0,133,3
796,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,954,0,3,4,2,1,2,1,,,,,,,,,,3,5,4,5,5,4,4,3,4,4,4,4,3,3,3,3,5,4,4,3,3,2,2,2,43,1,14.67,1,1500,1,0,0,0,0,1,0,133,4
797,0,0,1,0,0,0,0,1,10,0,0,1,0,1,0,20,0,1,0,0,0,954,0,3,4,2,1,2,1,,,,,,,,,,3,5,4,5,5,4,4,3,4,4,4,4,3,3,3,3,5,4,4,3,3,2,2,2,43,1,14.67,1,1500,1,0,0,0,0,1,0,133,5
798,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,954,0,3,4,2,1,2,1,,,,,,,,,,3,5,4,5,5,4,4,3,4,4,4,4,3,3,3,3,5,4,4,3,3,2,2,2,43,1,14.67,1,1500,1,0,0,0,0,1,0,133,6
799,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,955,1,5,4,1,1,1,1,,,,5,5,5,5,1,5,5,5,3,5,1,5,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,59,1,8.75,1,2500,1,0,0,0,0,0,0,134,1
800,0,0,1,0,0,0,0,0,30,0,0,0,0,1,0,10,0,0,1,1,0,955,1,5,4,1,1,1,1,,,,5,5,5,5,1,5,5,5,3,5,1,5,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,59,1,8.75,1,2500,1,0,0,0,0,0,0,134,2
801,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,955,1,5,4,1,1,1,1,,,,5,5,5,5,1,5,5,5,3,5,1,5,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,59,1,8.75,1,2500,1,0,0,0,0,0,0,134,3
802,0,0,1,0,0,0,0,0,5,0,1,0,1,0,1,20,0,1,0,0,1,955,1,5,4,1,1,1,1,,,,5,5,5,5,1,5,5,5,3,5,1,5,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,59,1,8.75,1,2500,1,0,0,0,0,0,0,134,4
803,0,0,1,0,0,0,0,1,10,0,0,1,0,1,0,20,0,1,0,0,0,955,1,5,4,1,1,1,1,,,,5,5,5,5,1,5,5,5,3,5,1,5,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,59,1,8.75,1,2500,1,0,0,0,0,0,0,134,5
804,0,0,1,0,0,0,0,1,60,0,0,1,0,0,0,10,0,1,0,1,0,955,1,5,4,1,1,1,1,,,,5,5,5,5,1,5,5,5,3,5,1,5,3,1,3,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,59,1,8.75,1,2500,1,0,0,0,0,0,0,134,6
805,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,965,0,4,4,1,1,2,2,,,,,,,,,,3,3,3,3,3,4,4,3,4,4,3,5,3,2,2,4,4,4,4,2,2,3,5,1,48,1,12.32,1,2500,1,0,0,0,0,0,0,135,1
806,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,965,0,4,4,1,1,2,2,,,,,,,,,,3,3,3,3,3,4,4,3,4,4,3,5,3,2,2,4,4,4,4,2,2,3,5,1,48,1,12.32,1,2500,1,0,0,0,0,0,0,135,2
807,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,60,1,0,0,0,1,965,0,4,4,1,1,2,2,,,,,,,,,,3,3,3,3,3,4,4,3,4,4,3,5,3,2,2,4,4,4,4,2,2,3,5,1,48,1,12.32,1,2500,1,0,0,0,0,0,0,135,3
808,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,965,0,4,4,1,1,2,2,,,,,,,,,,3,3,3,3,3,4,4,3,4,4,3,5,3,2,2,4,4,4,4,2,2,3,5,1,48,1,12.32,1,2500,1,0,0,0,0,0,0,135,4
809,0,0,0,0,0,0,0,1,10,0,0,1,0,1,0,20,1,1,0,0,0,965,0,4,4,1,1,2,2,,,,,,,,,,3,3,3,3,3,4,4,3,4,4,3,5,3,2,2,4,4,4,4,2,2,3,5,1,48,1,12.32,1,2500,1,0,0,0,0,0,0,135,5
810,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,965,0,4,4,1,1,2,2,,,,,,,,,,3,3,3,3,3,4,4,3,4,4,3,5,3,2,2,4,4,4,4,2,2,3,5,1,48,1,12.32,1,2500,1,0,0,0,0,0,0,135,6
811,0,0,1,0,0,0,0,1,5,0,1,0,0,0,1,60,0,0,1,0,0,972,0,5,2,1,1,1,1,,,,,,,,,,2,3,5,4,3,3,4,2,4,5,1,6,2,3,4,3,3,3,3,3,2,2,2,1,55,1,17.1,1,1500,1,0,0,0,0,0,0,136,1
812,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,5,0,0,0,1,0,972,0,5,2,1,1,1,1,,,,,,,,,,2,3,5,4,3,3,4,2,4,5,1,6,2,3,4,3,3,3,3,3,2,2,2,1,55,1,17.1,1,1500,1,0,0,0,0,0,0,136,2
813,0,0,0,0,0,0,0,0,40,1,1,0,1,0,1,20,0,1,0,0,1,972,0,5,2,1,1,1,1,,,,,,,,,,2,3,5,4,3,3,4,2,4,5,1,6,2,3,4,3,3,3,3,3,2,2,2,1,55,1,17.1,1,1500,1,0,0,0,0,0,0,136,3
814,0,0,1,0,0,0,0,1,20,0,0,1,0,1,1,5,0,1,0,0,0,972,0,5,2,1,1,1,1,,,,,,,,,,2,3,5,4,3,3,4,2,4,5,1,6,2,3,4,3,3,3,3,3,2,2,2,1,55,1,17.1,1,1500,1,0,0,0,0,0,0,136,4
815,0,0,0,0,0,0,0,1,10,0,0,1,1,0,0,20,1,0,0,1,0,972,0,5,2,1,1,1,1,,,,,,,,,,2,3,5,4,3,3,4,2,4,5,1,6,2,3,4,3,3,3,3,3,2,2,2,1,55,1,17.1,1,1500,1,0,0,0,0,0,0,136,5
816,0,0,0,0,0,0,0,0,60,1,1,0,0,1,1,60,0,0,1,0,0,972,0,5,2,1,1,1,1,,,,,,,,,,2,3,5,4,3,3,4,2,4,5,1,6,2,3,4,3,3,3,3,3,2,2,2,1,55,1,17.1,1,1500,1,0,0,0,0,0,0,136,6
817,0,0,1,0,0,0,0,0,40,0,1,0,0,1,0,10,0,1,0,1,0,973,1,5,1,1,1,1,2,1,,,1,1,2,1,4,3,1,2,4,3,4,1,3,4,5,4,6,6,2,1,2,4,5,4,4,1,1,4,4,1,56,1,8.8000002,1,4000,1,0,0,0,0,0,1,137,1
818,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,30,0,0,0,1,0,973,1,5,1,1,1,1,2,1,,,1,1,2,1,4,3,1,2,4,3,4,1,3,4,5,4,6,6,2,1,2,4,5,4,4,1,1,4,4,1,56,1,8.8000002,1,4000,1,0,0,0,0,0,1,137,2
819,0,0,1,0,0,0,0,0,60,0,0,1,0,0,0,5,0,1,0,1,0,973,1,5,1,1,1,1,2,1,,,1,1,2,1,4,3,1,2,4,3,4,1,3,4,5,4,6,6,2,1,2,4,5,4,4,1,1,4,4,1,56,1,8.8000002,1,4000,1,0,0,0,0,0,1,137,3
820,0,0,1,0,0,0,0,1,40,0,0,0,0,1,0,30,0,0,1,1,0,973,1,5,1,1,1,1,2,1,,,1,1,2,1,4,3,1,2,4,3,4,1,3,4,5,4,6,6,2,1,2,4,5,4,4,1,1,4,4,1,56,1,8.8000002,1,4000,1,0,0,0,0,0,1,137,4
821,0,0,1,0,0,0,0,1,30,0,1,0,1,0,0,40,0,1,0,0,1,973,1,5,1,1,1,1,2,1,,,1,1,2,1,4,3,1,2,4,3,4,1,3,4,5,4,6,6,2,1,2,4,5,4,4,1,1,4,4,1,56,1,8.8000002,1,4000,1,0,0,0,0,0,1,137,5
822,0,0,1,0,0,0,0,1,5,0,0,1,1,0,1,40,0,0,1,0,1,973,1,5,1,1,1,1,2,1,,,1,1,2,1,4,3,1,2,4,3,4,1,3,4,5,4,6,6,2,1,2,4,5,4,4,1,1,4,4,1,56,1,8.8000002,1,4000,1,0,0,0,0,0,1,137,6
823,0,0,0,0,0,0,0,1,5,1,1,0,0,0,1,60,0,0,1,0,0,976,0,5,2,2,1,1,2,,,,,,,,,,2,2,5,3,2,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,1,3,5,8,61,1,15.32,1,2500,1,0,0,0,0,0,0,138,1
824,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,5,0,0,0,1,0,976,0,5,2,2,1,1,2,,,,,,,,,,2,2,5,3,2,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,1,3,5,8,61,1,15.32,1,2500,1,0,0,0,0,0,0,138,2
825,0,0,0,0,0,0,0,0,40,1,1,0,1,0,1,20,0,1,0,0,1,976,0,5,2,2,1,1,2,,,,,,,,,,2,2,5,3,2,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,1,3,5,8,61,1,15.32,1,2500,1,0,0,0,0,0,0,138,3
826,0,0,0,0,0,0,0,1,20,1,0,1,0,1,1,5,0,1,0,0,0,976,0,5,2,2,1,1,2,,,,,,,,,,2,2,5,3,2,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,1,3,5,8,61,1,15.32,1,2500,1,0,0,0,0,0,0,138,4
827,0,0,0,0,0,0,0,1,10,0,0,1,1,0,0,20,1,0,0,1,0,976,0,5,2,2,1,1,2,,,,,,,,,,2,2,5,3,2,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,1,3,5,8,61,1,15.32,1,2500,1,0,0,0,0,0,0,138,5
828,0,0,0,0,0,0,0,0,60,1,1,0,0,1,1,60,0,0,1,0,0,976,0,5,2,2,1,1,2,,,,,,,,,,2,2,5,3,2,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,1,3,5,8,61,1,15.32,1,2500,1,0,0,0,0,0,0,138,6
829,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,60,0,0,1,1,0,978,0,4,3,2,1,2,3,,,,,,,,,,1,2,3,3,3,1,5,5,5,3,6,7,4,1,5,5,5,5,5,4,3,4,4,2,53,1,11.97,1,4000,1,0,0,0,0,0,0,139,1
830,0,0,0,0,0,0,0,0,20,1,0,0,1,0,1,10,0,0,0,0,1,978,0,4,3,2,1,2,3,,,,,,,,,,1,2,3,3,3,1,5,5,5,3,6,7,4,1,5,5,5,5,5,4,3,4,4,2,53,1,11.97,1,4000,1,0,0,0,0,0,0,139,2
831,0,0,0,0,0,0,0,1,10,0,1,0,0,0,1,30,1,0,1,0,1,978,0,4,3,2,1,2,3,,,,,,,,,,1,2,3,3,3,1,5,5,5,3,6,7,4,1,5,5,5,5,5,4,3,4,4,2,53,1,11.97,1,4000,1,0,0,0,0,0,0,139,3
832,0,0,0,0,0,0,0,1,60,1,0,1,0,1,0,5,0,1,0,0,0,978,0,4,3,2,1,2,3,,,,,,,,,,1,2,3,3,3,1,5,5,5,3,6,7,4,1,5,5,5,5,5,4,3,4,4,2,53,1,11.97,1,4000,1,0,0,0,0,0,0,139,4
833,0,0,0,0,0,0,0,0,40,0,0,1,1,0,1,40,1,0,0,0,1,978,0,4,3,2,1,2,3,,,,,,,,,,1,2,3,3,3,1,5,5,5,3,6,7,4,1,5,5,5,5,5,4,3,4,4,2,53,1,11.97,1,4000,1,0,0,0,0,0,0,139,5
834,0,0,0,0,0,0,0,1,10,0,0,0,1,0,1,40,1,0,1,0,1,978,0,4,3,2,1,2,3,,,,,,,,,,1,2,3,3,3,1,5,5,5,3,6,7,4,1,5,5,5,5,5,4,3,4,4,2,53,1,11.97,1,4000,1,0,0,0,0,0,0,139,6
835,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,60,0,0,1,1,0,979,1,5,3,1,1,1,1,,,,,,,,,,1,2,3,1,1,1,5,3,4,5,6,7,4,5,5,4,5,5,5,4,4,4,6,8,63,1,8.6499996,1,4000,1,0,0,0,0,0,0,140,1
836,0,0,0,0,0,0,0,0,20,1,0,0,1,0,1,10,0,0,0,0,1,979,1,5,3,1,1,1,1,,,,,,,,,,1,2,3,1,1,1,5,3,4,5,6,7,4,5,5,4,5,5,5,4,4,4,6,8,63,1,8.6499996,1,4000,1,0,0,0,0,0,0,140,2
837,0,0,0,0,0,0,0,1,10,1,1,0,0,0,1,30,0,0,1,0,1,979,1,5,3,1,1,1,1,,,,,,,,,,1,2,3,1,1,1,5,3,4,5,6,7,4,5,5,4,5,5,5,4,4,4,6,8,63,1,8.6499996,1,4000,1,0,0,0,0,0,0,140,3
838,0,0,0,0,0,0,0,1,60,0,0,1,0,1,0,5,1,1,0,0,0,979,1,5,3,1,1,1,1,,,,,,,,,,1,2,3,1,1,1,5,3,4,5,6,7,4,5,5,4,5,5,5,4,4,4,6,8,63,1,8.6499996,1,4000,1,0,0,0,0,0,0,140,4
839,0,0,1,0,0,0,0,0,40,0,0,1,1,0,1,40,0,0,0,0,1,979,1,5,3,1,1,1,1,,,,,,,,,,1,2,3,1,1,1,5,3,4,5,6,7,4,5,5,4,5,5,5,4,4,4,6,8,63,1,8.6499996,1,4000,1,0,0,0,0,0,0,140,5
840,0,0,0,0,0,0,0,1,10,1,0,0,1,0,1,40,0,0,1,0,1,979,1,5,3,1,1,1,1,,,,,,,,,,1,2,3,1,1,1,5,3,4,5,6,7,4,5,5,4,5,5,5,4,4,4,6,8,63,1,8.6499996,1,4000,1,0,0,0,0,0,0,140,6
841,0,0,1,0,0,0,0,1,5,0,1,0,0,0,1,60,0,0,1,0,0,980,0,4,2,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,5,47,1,9.6000004,1,500,1,0,0,0,0,0,0,141,1
842,0,0,1,0,0,0,0,0,20,0,0,0,0,1,0,5,0,0,0,1,0,980,0,4,2,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,5,47,1,9.6000004,1,500,1,0,0,0,0,0,0,141,2
843,0,0,0,0,0,0,0,0,40,0,1,0,1,0,1,20,1,1,0,0,1,980,0,4,2,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,5,47,1,9.6000004,1,500,1,0,0,0,0,0,0,141,3
844,0,0,0,0,0,0,0,1,20,1,0,1,0,1,1,5,0,1,0,0,0,980,0,4,2,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,5,47,1,9.6000004,1,500,1,0,0,0,0,0,0,141,4
845,0,0,0,0,0,0,0,1,10,1,0,1,1,0,0,20,0,0,0,1,0,980,0,4,2,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,5,47,1,9.6000004,1,500,1,0,0,0,0,0,0,141,5
846,0,0,1,0,0,0,0,0,60,0,1,0,0,1,1,60,0,0,1,0,0,980,0,4,2,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,5,47,1,9.6000004,1,500,1,0,0,0,0,0,0,141,6
847,0,0,0,0,0,0,0,0,40,0,1,0,0,1,0,10,1,1,0,1,0,983,0,4,1,1,1,1,2,,,,,,,,,,1,1,4,3,2,1,5,5,5,5,4,7,5,5,5,4,4,5,5,5,4,3,4,1,53,1,20.870001,1,2500,1,0,0,0,0,0,0,142,1
848,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,30,0,0,0,1,0,983,0,4,1,1,1,1,2,,,,,,,,,,1,1,4,3,2,1,5,5,5,5,4,7,5,5,5,4,4,5,5,5,4,3,4,1,53,1,20.870001,1,2500,1,0,0,0,0,0,0,142,2
849,0,0,0,0,0,0,0,0,60,0,0,1,0,0,0,5,1,1,0,1,0,983,0,4,1,1,1,1,2,,,,,,,,,,1,1,4,3,2,1,5,5,5,5,4,7,5,5,5,4,4,5,5,5,4,3,4,1,53,1,20.870001,1,2500,1,0,0,0,0,0,0,142,3
850,0,0,0,0,0,0,0,1,40,0,0,0,0,1,0,30,1,0,1,1,0,983,0,4,1,1,1,1,2,,,,,,,,,,1,1,4,3,2,1,5,5,5,5,4,7,5,5,5,4,4,5,5,5,4,3,4,1,53,1,20.870001,1,2500,1,0,0,0,0,0,0,142,4
851,0,0,0,0,0,0,0,1,30,0,1,0,1,0,0,40,1,1,0,0,1,983,0,4,1,1,1,1,2,,,,,,,,,,1,1,4,3,2,1,5,5,5,5,4,7,5,5,5,4,4,5,5,5,4,3,4,1,53,1,20.870001,1,2500,1,0,0,0,0,0,0,142,5
852,0,0,0,0,0,0,0,1,5,1,0,1,1,0,1,40,0,0,1,0,1,983,0,4,1,1,1,1,2,,,,,,,,,,1,1,4,3,2,1,5,5,5,5,4,7,5,5,5,4,4,5,5,5,4,3,4,1,53,1,20.870001,1,2500,1,0,0,0,0,0,0,142,6
853,0,0,1,0,0,0,0,0,20,0,1,0,0,1,0,60,0,0,1,1,0,984,0,1,3,4,4,4,4,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,3,7,20,1,10.63,1,500,1,0,0,0,0,0,1,143,1
854,0,0,1,0,0,0,0,0,20,0,0,0,1,0,1,10,0,0,0,0,1,984,0,1,3,4,4,4,4,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,3,7,20,1,10.63,1,500,1,0,0,0,0,0,1,143,2
855,0,0,1,0,0,0,0,1,10,0,1,0,0,0,1,30,0,0,1,0,1,984,0,1,3,4,4,4,4,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,3,7,20,1,10.63,1,500,1,0,0,0,0,0,1,143,3
856,0,0,1,0,0,0,0,1,60,0,0,1,0,1,0,5,0,1,0,0,0,984,0,1,3,4,4,4,4,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,3,7,20,1,10.63,1,500,1,0,0,0,0,0,1,143,4
857,0,0,1,0,0,0,0,0,40,0,0,1,1,0,1,40,0,0,0,0,1,984,0,1,3,4,4,4,4,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,3,7,20,1,10.63,1,500,1,0,0,0,0,0,1,143,5
858,0,0,1,0,0,0,0,1,10,0,0,0,1,0,1,40,0,0,1,0,1,984,0,1,3,4,4,4,4,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1,3,7,20,1,10.63,1,500,1,0,0,0,0,0,1,143,6
859,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,60,0,0,1,1,0,985,0,2,3,1,1,1,2,,,,,,,,,,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,4,4,2,2,3,5,1,30,1,177.92,1,2500,1,0,0,0,0,0,0,144,1
860,0,0,0,0,0,0,0,0,20,1,0,0,1,0,1,10,0,0,0,0,1,985,0,2,3,1,1,1,2,,,,,,,,,,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,4,4,2,2,3,5,1,30,1,177.92,1,2500,1,0,0,0,0,0,0,144,2
861,0,0,0,0,0,0,0,1,10,0,1,0,0,0,1,30,1,0,1,0,1,985,0,2,3,1,1,1,2,,,,,,,,,,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,4,4,2,2,3,5,1,30,1,177.92,1,2500,1,0,0,0,0,0,0,144,3
862,0,0,0,0,0,0,0,1,60,1,0,1,0,1,0,5,0,1,0,0,0,985,0,2,3,1,1,1,2,,,,,,,,,,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,4,4,2,2,3,5,1,30,1,177.92,1,2500,1,0,0,0,0,0,0,144,4
863,0,0,0,0,0,0,0,0,40,1,0,1,1,0,1,40,0,0,0,0,1,985,0,2,3,1,1,1,2,,,,,,,,,,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,4,4,2,2,3,5,1,30,1,177.92,1,2500,1,0,0,0,0,0,0,144,5
864,0,0,0,0,0,0,0,1,10,0,0,0,1,0,1,40,1,0,1,0,1,985,0,2,3,1,1,1,2,,,,,,,,,,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,4,4,2,2,3,5,1,30,1,177.92,1,2500,1,0,0,0,0,0,0,144,6
865,0,0,0,0,0,0,0,0,40,0,1,0,0,1,0,10,1,1,0,1,0,986,0,5,1,1,1,1,2,,,,,,,,,,2,2,2,2,2,2,4,2,4,2,5,7,4,3,4,3,4,4,4,5,1,3,4,3,63,1,16.77,1,2500,1,0,0,0,0,0,0,145,1
866,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,30,0,0,0,1,0,986,0,5,1,1,1,1,2,,,,,,,,,,2,2,2,2,2,2,4,2,4,2,5,7,4,3,4,3,4,4,4,5,1,3,4,3,63,1,16.77,1,2500,1,0,0,0,0,0,0,145,2
867,0,0,0,0,0,0,0,0,60,0,0,1,0,0,0,5,1,1,0,1,0,986,0,5,1,1,1,1,2,,,,,,,,,,2,2,2,2,2,2,4,2,4,2,5,7,4,3,4,3,4,4,4,5,1,3,4,3,63,1,16.77,1,2500,1,0,0,0,0,0,0,145,3
868,0,0,0,0,0,0,0,1,40,0,0,0,0,1,0,30,1,0,1,1,0,986,0,5,1,1,1,1,2,,,,,,,,,,2,2,2,2,2,2,4,2,4,2,5,7,4,3,4,3,4,4,4,5,1,3,4,3,63,1,16.77,1,2500,1,0,0,0,0,0,0,145,4
869,0,0,0,0,0,0,0,1,30,0,1,0,1,0,0,40,1,1,0,0,1,986,0,5,1,1,1,1,2,,,,,,,,,,2,2,2,2,2,2,4,2,4,2,5,7,4,3,4,3,4,4,4,5,1,3,4,3,63,1,16.77,1,2500,1,0,0,0,0,0,0,145,5
870,0,0,1,0,0,0,0,1,5,0,0,1,1,0,1,40,0,0,1,0,1,986,0,5,1,1,1,1,2,,,,,,,,,,2,2,2,2,2,2,4,2,4,2,5,7,4,3,4,3,4,4,4,5,1,3,4,3,63,1,16.77,1,2500,1,0,0,0,0,0,0,145,6
871,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,60,0,0,1,1,0,987,1,4,3,4,2,2,3,,,,,,,,,,2,4,5,4,4,4,4,4,4,3,3,5,2,3,2,4,3,4,4,2,2,2,4,1,52,1,11.62,1,1500,1,0,0,0,0,1,0,146,1
872,0,0,0,0,0,0,0,0,20,0,0,0,1,0,1,10,1,0,0,0,1,987,1,4,3,4,2,2,3,,,,,,,,,,2,4,5,4,4,4,4,4,4,3,3,5,2,3,2,4,3,4,4,2,2,2,4,1,52,1,11.62,1,1500,1,0,0,0,0,1,0,146,2
873,0,0,0,0,0,0,0,1,10,0,1,0,0,0,1,30,1,0,1,0,1,987,1,4,3,4,2,2,3,,,,,,,,,,2,4,5,4,4,4,4,4,4,3,3,5,2,3,2,4,3,4,4,2,2,2,4,1,52,1,11.62,1,1500,1,0,0,0,0,1,0,146,3
874,0,0,0,0,0,0,0,1,60,0,0,1,0,1,0,5,1,1,0,0,0,987,1,4,3,4,2,2,3,,,,,,,,,,2,4,5,4,4,4,4,4,4,3,3,5,2,3,2,4,3,4,4,2,2,2,4,1,52,1,11.62,1,1500,1,0,0,0,0,1,0,146,4
875,0,0,0,0,0,0,0,0,40,0,0,1,1,0,1,40,1,0,0,0,1,987,1,4,3,4,2,2,3,,,,,,,,,,2,4,5,4,4,4,4,4,4,3,3,5,2,3,2,4,3,4,4,2,2,2,4,1,52,1,11.62,1,1500,1,0,0,0,0,1,0,146,5
876,0,0,0,0,0,0,0,1,10,1,0,0,1,0,1,40,0,0,1,0,1,987,1,4,3,4,2,2,3,,,,,,,,,,2,4,5,4,4,4,4,4,4,3,3,5,2,3,2,4,3,4,4,2,2,2,4,1,52,1,11.62,1,1500,1,0,0,0,0,1,0,146,6
877,0,0,1,0,0,0,0,0,20,0,1,0,0,1,0,60,0,0,1,1,0,988,1,6,3,1,1,1,1,,,1,3,3,5,3,5,5,3,5,3,5,3,5,3,1,3,5,1,1,1,4,1,5,5,3,3,3,1,2,3,8,68,1,14.5,1,1500,1,0,0,0,0,0,1,147,1
878,0,0,1,0,0,0,0,0,20,0,0,0,1,0,1,10,0,0,0,0,1,988,1,6,3,1,1,1,1,,,1,3,3,5,3,5,5,3,5,3,5,3,5,3,1,3,5,1,1,1,4,1,5,5,3,3,3,1,2,3,8,68,1,14.5,1,1500,1,0,0,0,0,0,1,147,2
879,0,0,1,0,0,0,0,1,10,0,1,0,0,0,1,30,0,0,1,0,1,988,1,6,3,1,1,1,1,,,1,3,3,5,3,5,5,3,5,3,5,3,5,3,1,3,5,1,1,1,4,1,5,5,3,3,3,1,2,3,8,68,1,14.5,1,1500,1,0,0,0,0,0,1,147,3
880,0,0,1,0,0,0,0,1,60,0,0,1,0,1,0,5,0,1,0,0,0,988,1,6,3,1,1,1,1,,,1,3,3,5,3,5,5,3,5,3,5,3,5,3,1,3,5,1,1,1,4,1,5,5,3,3,3,1,2,3,8,68,1,14.5,1,1500,1,0,0,0,0,0,1,147,4
