"","person","set","choice","cost_alt1","beach_25_alt1","beach_50_alt1","beach_75_alt1","beach_90_alt1","coastal_5_alt1","coastal_10_alt1","coastal_15_alt1","coastal_20_alt1","intl_3_alt1","intl_5_alt1","intl_10_alt1","intl_15_alt1","foreign_5_alt1","foreign_10_alt1","foreign_15_alt1","foreign_20_alt1","csplit_50home_alt1","csplit_75home_alt1","cost_alt2","beach_25_alt2","beach_50_alt2","beach_75_alt2","beach_90_alt2","coastal_5_alt2","coastal_10_alt2","coastal_15_alt2","coastal_20_alt2","intl_3_alt2","intl_5_alt2","intl_10_alt2","intl_15_alt2","foreign_5_alt2","foreign_10_alt2","foreign_15_alt2","foreign_20_alt2","csplit_50home_alt2","csplit_75home_alt2","cost_alt3","beach_25_alt3","beach_50_alt3","beach_75_alt3","beach_90_alt3","coastal_5_alt3","coastal_10_alt3","coastal_15_alt3","coastal_20_alt3","intl_3_alt3","intl_5_alt3","intl_10_alt3","intl_15_alt3","foreign_5_alt3","foreign_10_alt3","foreign_15_alt3","foreign_20_alt3","csplit_50home_alt3","csplit_75home_alt3","gender1","education1","income_num","household","hhchildren","environorg","sector_fishprocess","sector_renewable","sector_oilgas","sector_marine_other","sector_no_marine","yourbeachplastic","intlplasticexperience","usavisit"
"9275",1868,5,3,306.499765352471,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,153.249882676235,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12500,2,1,1,0,0,0,0,1,1,2,3
"9276",1869,1,1,306.499765352471,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,153.249882676235,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"9277",1869,2,2,469.966306873789,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,122.599906140988,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"9278",1869,3,2,469.966306873789,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,153.249882676235,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"9279",1869,4,2,469.966306873789,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,122.599906140988,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"9280",1869,5,2,306.499765352471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,71.5166119155766,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"9281",1870,1,1,469.966306873789,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,469.966306873789,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16250.5,3,3,1,0,0,0,0,1,1,2,2
"9282",1870,2,2,306.499765352471,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,469.966306873789,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16250.5,3,3,1,0,0,0,0,1,1,2,2
"9283",1870,3,1,469.966306873789,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16250.5,3,3,1,0,0,0,0,1,1,2,2
"9284",1870,4,2,306.499765352471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,469.966306873789,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16250.5,3,3,1,0,0,0,0,1,1,2,2
"9285",1870,5,1,153.249882676235,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16250.5,3,3,1,0,0,0,0,1,1,2,2
"9286",1871,1,3,469.966306873789,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,71.5166119155766,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,40000.5,2,1,2,0,0,0,0,1,1,2,2
"9287",1871,2,3,71.5166119155766,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,71.5166119155766,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,40000.5,2,1,2,0,0,0,0,1,1,2,2
"9288",1871,3,2,122.599906140988,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,122.599906140988,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,40000.5,2,1,2,0,0,0,0,1,1,2,2
"9289",1871,4,3,469.966306873789,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,153.249882676235,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,40000.5,2,1,2,0,0,0,0,1,1,2,2
"9290",1871,5,1,71.5166119155766,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,306.499765352471,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,40000.5,2,1,2,0,0,0,0,1,1,2,2
"9291",1872,1,1,469.966306873789,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,469.966306873789,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,0,0,2,0,0,0,0,1,1,1,2
"9292",1872,2,1,71.5166119155766,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,306.499765352471,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,0,0,2,0,0,0,0,1,1,1,2
"9293",1872,3,1,153.249882676235,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,153.249882676235,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,0,0,2,0,0,0,0,1,1,1,2
"9294",1872,4,1,153.249882676235,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,469.966306873789,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,0,0,2,0,0,0,0,1,1,1,2
"9295",1872,5,1,153.249882676235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,469.966306873789,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,0,0,2,0,0,0,0,1,1,1,2
"9311",1876,1,3,153.249882676235,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,71.5166119155766,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,1,0,2,0,0,0,0,1,5,1,2
"9312",1876,2,3,122.599906140988,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,469.966306873789,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,1,0,2,0,0,0,0,1,5,1,2
"9313",1876,3,3,122.599906140988,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,122.599906140988,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,1,0,2,0,0,0,0,1,5,1,2
"9314",1876,4,3,306.499765352471,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,153.249882676235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,1,0,2,0,0,0,0,1,5,1,2
"9315",1876,5,3,71.5166119155766,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,122.599906140988,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,1,0,2,0,0,0,0,1,5,1,2
"9321",1878,1,2,469.966306873789,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,71.5166119155766,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40000.5,2,2,2,0,0,0,0,1,3,1,2
"9322",1878,2,2,469.966306873789,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,71.5166119155766,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40000.5,2,2,2,0,0,0,0,1,3,1,2
"9323",1878,3,1,71.5166119155766,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,122.599906140988,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40000.5,2,2,2,0,0,0,0,1,3,1,2
"9324",1878,4,2,122.599906140988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,122.599906140988,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40000.5,2,2,2,0,0,0,0,1,3,1,2
"9325",1878,5,1,122.599906140988,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,122.599906140988,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40000.5,2,2,2,0,0,0,0,1,3,1,2
"9346",1883,1,1,153.249882676235,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,71.5166119155766,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16250.5,2,0,2,0,0,0,0,1,1,4,2
"9347",1883,2,1,122.599906140988,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,71.5166119155766,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16250.5,2,0,2,0,0,0,0,1,1,4,2
"9348",1883,3,2,122.599906140988,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,71.5166119155766,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16250.5,2,0,2,0,0,0,0,1,1,4,2
"9349",1883,4,2,306.499765352471,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,153.249882676235,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16250.5,2,0,2,0,0,0,0,1,1,4,2
"9350",1883,5,2,153.249882676235,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,153.249882676235,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16250.5,2,0,2,0,0,0,0,1,1,4,2
"9351",1884,1,3,469.966306873789,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,469.966306873789,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,2,0,2,0,0,0,0,1,1,1,2
"9352",1884,2,3,306.499765352471,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,469.966306873789,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,2,0,2,0,0,0,0,1,1,1,2
"9353",1884,3,3,469.966306873789,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,2,0,2,0,0,0,0,1,1,1,2
"9354",1884,4,3,306.499765352471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,469.966306873789,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,2,0,2,0,0,0,0,1,1,1,2
"9355",1884,5,3,153.249882676235,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12500,2,0,2,0,0,0,0,1,1,1,2
"9376",1889,1,3,71.5166119155766,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,122.599906140988,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,125000.5,3,0,2,0,0,0,0,1,4,1,1
"9377",1889,2,3,122.599906140988,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,306.499765352471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,125000.5,3,0,2,0,0,0,0,1,4,1,1
"9378",1889,3,3,469.966306873789,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,153.249882676235,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,125000.5,3,0,2,0,0,0,0,1,4,1,1
"9379",1889,4,3,469.966306873789,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,306.499765352471,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,125000.5,3,0,2,0,0,0,0,1,4,1,1
"9380",1889,5,3,306.499765352471,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,153.249882676235,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,125000.5,3,0,2,0,0,0,0,1,4,1,1
"9381",1890,1,1,71.5166119155766,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306.499765352471,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,60000.5,1,0,2,0,0,0,0,1,1,1,1
"9382",1890,2,1,71.5166119155766,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,71.5166119155766,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,60000.5,1,0,2,0,0,0,0,1,1,1,1
"9383",1890,3,3,469.966306873789,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,469.966306873789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,60000.5,1,0,2,0,0,0,0,1,1,1,1
"9384",1890,4,3,306.499765352471,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,306.499765352471,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,60000.5,1,0,2,0,0,0,0,1,1,1,1
"9385",1890,5,3,153.249882676235,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,469.966306873789,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,60000.5,1,0,2,0,0,0,0,1,1,1,1
"9391",1892,1,1,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,40000.5,2,0,1,0,0,0,0,1,1,2,2
"9392",1892,2,1,122.599906140988,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,153.249882676235,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,40000.5,2,0,1,0,0,0,0,1,1,2,2
"9393",1892,3,2,306.499765352471,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,122.599906140988,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,40000.5,2,0,1,0,0,0,0,1,1,2,2
"9394",1892,4,2,306.499765352471,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,71.5166119155766,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,40000.5,2,0,1,0,0,0,0,1,1,2,2
"9395",1892,5,1,71.5166119155766,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,469.966306873789,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,40000.5,2,0,1,0,0,0,0,1,1,2,2
"9401",1894,1,1,153.249882676235,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,71.5166119155766,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16250.5,1,0,1,0,0,0,0,1,2,1,2
"9402",1894,2,1,122.599906140988,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,71.5166119155766,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16250.5,1,0,1,0,0,0,0,1,2,1,2
"9403",1894,3,1,122.599906140988,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,71.5166119155766,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16250.5,1,0,1,0,0,0,0,1,2,1,2
"9404",1894,4,2,306.499765352471,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,153.249882676235,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16250.5,1,0,1,0,0,0,0,1,2,1,2
"9405",1894,5,2,153.249882676235,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,153.249882676235,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16250.5,1,0,1,0,0,0,0,1,2,1,2
"9411",1896,1,3,469.966306873789,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,71.5166119155766,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,25000.5,2,2,2,0,0,0,0,1,1,3,2
"9412",1896,2,3,469.966306873789,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,71.5166119155766,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,25000.5,2,2,2,0,0,0,0,1,1,3,2
"9413",1896,3,3,71.5166119155766,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,122.599906140988,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,25000.5,2,2,2,0,0,0,0,1,1,3,2
"9414",1896,4,3,122.599906140988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,122.599906140988,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,25000.5,2,2,2,0,0,0,0,1,1,3,2
"9415",1896,5,3,122.599906140988,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,122.599906140988,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,25000.5,2,2,2,0,0,0,0,1,1,3,2
"9426",1899,1,3,153.249882676235,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,71.5166119155766,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12500,3,0,2,0,0,0,0,1,2,1,2
"9427",1899,2,3,122.599906140988,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,469.966306873789,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12500,3,0,2,0,0,0,0,1,2,1,2
"9428",1899,3,3,122.599906140988,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,122.599906140988,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12500,3,0,2,0,0,0,0,1,2,1,2
"9429",1899,4,3,306.499765352471,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,153.249882676235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12500,3,0,2,0,0,0,0,1,2,1,2
"9430",1899,5,3,71.5166119155766,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,122.599906140988,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12500,3,0,2,0,0,0,0,1,2,1,2
"9441",1902,1,2,469.966306873789,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,71.5166119155766,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,40000.5,4,0,2,0,0,0,0,1,2,1,2
"9442",1902,2,1,71.5166119155766,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,71.5166119155766,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,40000.5,4,0,2,0,0,0,0,1,2,1,2
"9443",1902,3,2,122.599906140988,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,122.599906140988,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,40000.5,4,0,2,0,0,0,0,1,2,1,2
"9444",1902,4,2,469.966306873789,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,153.249882676235,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,40000.5,4,0,2,0,0,0,0,1,2,1,2
"9445",1902,5,1,71.5166119155766,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,306.499765352471,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,40000.5,4,0,2,0,0,0,0,1,2,1,2
"9451",1904,1,3,122.599906140988,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,122.599906140988,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,0,2,0,0,0,0,1,3,4,2
"9452",1904,2,3,71.5166119155766,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,122.599906140988,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,0,2,0,0,0,0,1,3,4,2
"9453",1904,3,3,122.599906140988,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,469.966306873789,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,0,2,0,0,0,0,1,3,4,2
"9454",1904,4,3,469.966306873789,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,71.5166119155766,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,0,2,0,0,0,0,1,3,4,2
